condition,kind,round,wallMs,invocationCount,measurementDigest
baseline-single-process,baseline,1,20.154,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,2,20.678,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,3,28.992,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,4,17.248,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,5,21.103,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,6,19.743,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,7,18.431,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,8,18.391,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,9,16.081,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
baseline-single-process,baseline,10,17.357,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
cold-start-single-file,cold-start,1,10.051,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,2,11.492,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,3,9.712,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,4,9.656,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,5,11.233,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,6,10.187,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,7,10.199,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,8,8.479,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,9,9.242,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
cold-start-single-file,cold-start,10,9.524,1,481ad69433ed818fe82844494a57428ad5ac256d3332976318ff11394e7b913a
batch-size-1,batch-size,1,4692.323,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,2,5000.563,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,3,4752.226,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,4,5020.462,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,5,4753.168,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,6,5012.476,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,7,4772.714,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,8,5264.693,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,9,5450.507,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-1,batch-size,10,4918.810,620,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,1,1003.265,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,2,977.838,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,3,963.342,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,4,963.051,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,5,1044.242,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,6,1051.632,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,7,1071.792,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,8,1013.564,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,9,1034.106,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-5,batch-size,10,1049.577,124,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,1,520.316,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,2,544.472,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,3,516.077,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,4,551.358,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,5,486.955,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,6,493.609,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,7,600.654,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,8,1272.717,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,9,841.356,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-10,batch-size,10,506.095,62,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,1,196.012,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,2,202.933,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,3,200.845,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,4,204.192,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,5,206.547,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,6,219.883,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,7,253.249,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,8,231.789,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,9,222.808,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-25,batch-size,10,218.419,25,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,1,131.751,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,2,191.735,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,3,179.012,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,4,161.778,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,5,138.192,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,6,131.468,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,7,129.820,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,8,132.575,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,9,125.354,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-50,batch-size,10,113.988,13,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,1,75.494,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,2,70.408,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,3,66.691,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,4,68.451,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,5,67.181,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,6,66.901,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,7,69.027,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,8,66.727,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,9,65.415,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-100,batch-size,10,65.253,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,1,38.551,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,2,40.168,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,3,38.511,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,4,38.150,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,5,41.331,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,6,40.305,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,7,42.119,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,8,39.775,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,9,39.161,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-200,batch-size,10,36.992,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,1,22.027,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,2,21.858,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,3,21.228,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,4,21.325,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,5,22.113,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,6,20.619,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,7,22.070,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,8,21.444,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,9,21.140,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-310,batch-size,10,21.037,2,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,1,13.767,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,2,14.916,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,3,12.810,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,4,13.038,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,5,14.142,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,6,14.050,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,7,14.140,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,8,15.874,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,9,15.194,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
batch-size-620,batch-size,10,14.260,1,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,1,90.037,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,2,84.451,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,3,91.536,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,4,90.499,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,5,95.285,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,6,90.289,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,7,87.085,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,8,87.377,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,9,84.080,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-8000,ceiling,10,85.952,10,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,1,62.077,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,2,67.109,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,3,74.366,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,4,70.077,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,5,65.034,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,6,66.830,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,7,65.013,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,8,69.310,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,9,66.472,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-12000,ceiling,10,77.799,7,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,1,53.577,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,2,61.543,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,3,61.419,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,4,54.142,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,5,54.833,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,6,51.515,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,7,58.343,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,8,60.150,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,9,60.570,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-16000,ceiling,10,54.843,5,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
ceiling-20000,ceiling,1,42.883,4,f4afbe623636ffdf7a4dde158cc723dace0ac5e4a2861324910602a3b4dfc7a8
