condition,kind,round,wallMs,invocationCount,measurementDigest
runtime-production-ceiling-28000,runtime,1,37.675974,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,2,39.687627,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,3,39.143326,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,4,36.241859,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,5,36.301653,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,6,36.933135,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,7,45.186261,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,8,34.139075,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,9,37.659689,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
runtime-production-ceiling-28000,runtime,10,37.509654,3,b4abd7f5703bae07fee30b88fc2fec20027b3bb78b90c11b0f5fc9d20f86f037
