rank,checkId,displayName,durationMs
"1","typecheck-product","TypeScript product typecheck and import boundary","10049.973"
"2","typecheck-scripts","TypeScript script typecheck","9947.469"
"3","tests-scripts-validation","Bun repository material validation tests","7086.761"
"4","tests-scripts-package-tools-boundary","Bun package-tools boundary tests","5039.735"
"5","markdown-lint","Markdown lint","4100.714"
"6","tests-scripts-project-selection","Bun Project Gate change selection tests","4017.887"
"7","markdown-link-validation","Markdown link validation","3910.242"
"8","tests-package-consumer-types","Bun external package consumer type acceptance","3842.372"
"9","function-metrics","Function metrics","3743.154"
"10","tests-package-artifact","Bun package artifact acceptance","3600.197"
"11","tests-scripts-admission-workbench","Bun admission workbench tests","3445.485"
"12","tests-scripts-project","Bun Project Gate tooling tests","2851.108"
"13","tests-scripts-layout","Bun repository layout tests","2801.255"
"14","tests-product-supporting-checks","Bun Product supporting Check tests","2526.428"
"15","tests-product-runtime","Bun Product runtime tests","2239.619"
"16","tests-product-function-metrics","Bun Product function metrics tests","2089.065"
"17","tests-package-consumer-runtime","Bun external package consumer runtime acceptance","1963.03"
"18","duplicate-detection","Duplicate detection","1717.876"
"19","test-evidence","Semantic Case ledger","1693.404"
"20","tests-package-supporting","Bun package calculation and material tests","1669.401"
"21","lint-scripts","TypeScript script lint","1626.892"
"22","tests-product-duplicate-detection","Bun Product duplicate detection tests","1484.12"
"23","lint-product","TypeScript product lint","1412.597"
"24","tests-product-file-metrics","Bun Product file metrics tests","1317.488"
"25","tests-scripts-test-evidence","Bun Test Evidence tooling tests","1290.266"
"26","prepared-external-package-consumer","Prepared external package consumer","1219.014"
"27","tests-package-consumer-docs","Bun external package consumer documentation acceptance","1217.981"
"28","tests-scripts-tooling","Bun ordinary script tooling tests","1215.578"
"29","decision-records","Decision records","1099.533"
"30","tests-scripts-machine-artifacts","Bun machine artifact validation tests","1061.858"
"31","tests-product-markdown-links","Bun Product Markdown link tests","541.204"
"32","tests-product-json","Bun Product JSON tests","481.039"
"33","tests-product-secret-detection","Bun Product secret detection tests","399.018"
"34","materials-examples-validator","Repository publication and machine example material validator","387.641"
"35","materials-json-validator","JSON validation","258.427"
"36","file-metrics","File metrics","218.997"
"37","format-check","Source format","208.772"
"38","materials-schema-validator","JSON Schema validation","131.715"
"39","materials-schema-publication-validator","Repository schema publication material validator","93.031"
"40","git-diff-whitespace","Git diff whitespace","23.647"
"41","test-evidence-rule-tests","Test evidence ast-grep rule tests","14.239"
"42","materials-links-validator","Repository material link validation","11.622"
"43","prepared-package-candidate","Prepared package candidate","5.61"
