checkId,displayName,sourceWarmDurationMs,sourceWarmFinishedAtProductMs,snapshotColdChecksDurationMs,snapshotColdChecksFinishedAtProductMs
"decision-records","Decision records","1570.390","1746.000","1409.184","1556.000"
"duplicate-detection","Duplicate detection","151.746","14804.000","1887.050","2037.000"
"file-metrics","File metrics","239.484","15520.000","310.419","589.000"
"format-check","Source format","293.701","14784.000","221.379","814.000"
"function-metrics","Function metrics","3409.947","12300.000","3396.807","4214.000"
"git-diff-whitespace","Git diff whitespace","629.287","15416.000","19.910","1580.000"
"lint-scripts","TypeScript script lint","1521.293","5159.000","1074.380","2657.000"
"markdown-link-validation","Markdown link validation","3191.235","14486.000","3780.619","5822.000"
"markdown-lint","Markdown lint","3532.053","11291.000","4068.696","8287.000"
"materials-json-validator","JSON validation","294.353","15103.000","250.475","4617.000"
"materials-links-validator","Repository material link validation","12.593","15430.000","11.731","4631.000"
"materials-schema-validator","JSON Schema validation","170.473","15277.000","151.822","4786.000"
"prepared-package-candidate","Prepared package candidate","5.304","170.000","6.279","150.000"
"test-evidence","Semantic Case ledger","2587.906","7750.000","1650.339","6438.000"
"tests-package-supporting","Bun package calculation and material tests","2162.932","2335.000","2469.255","8294.000"
"tests-scripts-layout","Bun repository layout tests","3354.041","14650.000","3804.933","10246.000"
"tests-scripts-package-tools-boundary","Bun package-tools boundary tests","6451.869","10090.000","5044.270","13356.000"
"tests-scripts-project","Bun Project Gate tooling tests","3249.079","15554.000","2773.825","13024.000"
"tests-scripts-project-selection","Bun Project Gate change selection tests","8714.178","8885.000","5620.205","18648.000"
"tests-scripts-test-evidence","Bun Test Evidence tooling tests","1293.068","3632.000","2701.884","16062.000"
"typecheck-scripts","TypeScript script typecheck","391.263","10484.000","6616.978","19978.000"
