checkId,displayName,requiredOutcome,focusedUnionOutcome,coldAllOutcome
"decision-records","Decision records","passed","not-applicable","passed"
"duplicate-detection","Duplicate detection","passed","passed","passed"
"file-metrics","File metrics","passed","passed","passed"
"format-check","Source format","passed","not-applicable","passed"
"function-metrics","Function metrics","passed","passed","passed"
"git-diff-whitespace","Git diff whitespace","passed","not-applicable","passed"
"lint-product","TypeScript product lint","not-applicable","passed","passed"
"lint-scripts","TypeScript script lint","passed","passed","passed"
"markdown-link-validation","Markdown link validation","passed","passed","passed"
"markdown-lint","Markdown lint","passed","passed","passed"
"materials-examples-validator","Repository publication and machine example material validator","not-applicable","passed","passed"
"materials-json-validator","JSON validation","passed","passed","passed"
"materials-links-validator","Repository material link validation","passed","passed","passed"
"materials-schema-publication-validator","Repository schema publication material validator","not-applicable","passed","passed"
"materials-schema-validator","JSON Schema validation","passed","passed","passed"
"prepared-external-package-consumer","Prepared external package consumer","not-applicable","not-applicable","passed"
"prepared-package-candidate","Prepared package candidate","passed","not-applicable","passed"
"test-evidence","Semantic Case ledger","passed","passed","passed"
"test-evidence-rule-tests","Test evidence ast-grep rule tests","not-applicable","passed","passed"
"tests-package-artifact","Bun package artifact acceptance","not-applicable","not-applicable","passed"
"tests-package-consumer-docs","Bun external package consumer documentation acceptance","not-applicable","not-applicable","passed"
"tests-package-consumer-runtime","Bun external package consumer runtime acceptance","not-applicable","not-applicable","passed"
"tests-package-consumer-types","Bun external package consumer type acceptance","not-applicable","not-applicable","passed"
"tests-package-supporting","Bun package calculation and material tests","passed","passed","passed"
"tests-product-duplicate-detection","Bun Product duplicate detection tests","not-applicable","passed","passed"
"tests-product-file-metrics","Bun Product file metrics tests","not-applicable","passed","passed"
"tests-product-function-metrics","Bun Product function metrics tests","not-applicable","passed","passed"
"tests-product-json","Bun Product JSON tests","not-applicable","passed","passed"
"tests-product-markdown-links","Bun Product Markdown link tests","not-applicable","passed","passed"
"tests-product-runtime","Bun Product runtime tests","not-applicable","passed","passed"
"tests-product-secret-detection","Bun Product secret detection tests","not-applicable","passed","passed"
"tests-product-supporting-checks","Bun Product supporting Check tests","not-applicable","passed","passed"
"tests-scripts-admission-workbench","Bun admission workbench tests","not-applicable","passed","passed"
"tests-scripts-layout","Bun repository layout tests","passed","passed","passed"
"tests-scripts-machine-artifacts","Bun machine artifact validation tests","not-applicable","passed","passed"
"tests-scripts-package-tools-boundary","Bun package-tools boundary tests","passed","passed","passed"
"tests-scripts-project","Bun Project Gate tooling tests","passed","passed","passed"
"tests-scripts-project-selection","Bun Project Gate change selection tests","passed","passed","passed"
"tests-scripts-test-evidence","Bun Test Evidence tooling tests","passed","passed","passed"
"tests-scripts-tooling","Bun ordinary script tooling tests","not-applicable","passed","passed"
"tests-scripts-validation","Bun repository material validation tests","not-applicable","passed","passed"
"typecheck-product","TypeScript product typecheck and import boundary","not-applicable","passed","passed"
"typecheck-scripts","TypeScript script typecheck","passed","passed","passed"
