         6185868 function calls (5857560 primitive calls) in 1.295 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
504948/178531    0.122    0.000    0.311    0.000 code_reader.py:48(__call__)
   296242    0.115    0.000    0.188    0.000 code_reader.py:142(_generate_tokens)
   298734    0.091    0.000    0.326    0.000 typescript.py:65(generate_tokens)
   178785    0.086    0.000    0.815    0.000 code_reader.py:208(__call__)
   178785    0.081    0.000    0.345    0.000 lizard.py:560(line_counter)
      254    0.074    0.000    0.433    0.002 js_style_regex_expression.py:9(generate_tokens_with_regex)
   122360    0.073    0.000    0.118    0.000 typescript.py:158(_state_global)
   748613    0.067    0.000    0.067    0.000 {method 'startswith' of 'str' objects}
   211252    0.064    0.000    0.225    0.000 lizard.py:538(comment_counter)
   211125    0.050    0.000    0.087    0.000 clike.py:17(get_comment_from_token)
   211379    0.049    0.000    0.073    0.000 lizard.py:535(<genexpr>)
   296074    0.035    0.000    0.064    0.000 code_reader.py:137(create_token)
   178785    0.032    0.000    0.408    0.000 lizard.py:584(condition_counter)
   178785    0.031    0.000    0.376    0.000 lizard.py:576(token_counter)
   298478    0.030    0.000    0.030    0.000 {method 'group' of 're.Match' objects}
   295156    0.024    0.000    0.024    0.000 {method 'isspace' of 'str' objects}
   308617    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
   178531    0.020    0.000    0.020    0.000 lizard.py:484(add_nloc)
   178531    0.019    0.000    0.019    0.000 {method 'count' of 'str' objects}
      254    0.017    0.000    1.283    0.005 lizard.py:613(analyze_source_code)
   311891    0.017    0.000    0.017    0.000 {built-in method builtins.isinstance}
   313069    0.016    0.000    0.016    0.000 {built-in method builtins.len}
    16554    0.013    0.000    0.029    0.000 typescript.py:503(_dec)
   178531    0.010    0.000    0.010    0.000 code_reader.py:228(process_token)
    15519    0.009    0.000    0.012    0.000 typescript.py:138(__init__)
57840/55949    0.007    0.000    0.026    0.000 code_reader.py:29(next)
    19184    0.005    0.000    0.007    0.000 code_reader.py:43(sub_state)
    19438    0.005    0.000    0.005    0.000 code_reader.py:17(__init__)
     2408    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
    17518    0.004    0.000    0.006    0.000 code_reader.py:39(statemachine_return)
     3919    0.004    0.000    0.010    0.000 typescript.py:598(_consume_type_annotation)
     7267    0.004    0.000    0.006    0.000 __init__.py:280(_compile)
     9251    0.004    0.000    0.005    0.000 lizard.py:364(add_to_long_name)
    25718    0.003    0.000    0.005    0.000 typescript.py:455(_pop_function_from_stack)
    30288    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     2787    0.003    0.000    0.007    0.000 typescript.py:412(read_object)
     4228    0.003    0.000    0.020    0.000 typescript.py:472(_function)
    29194    0.003    0.000    0.003    0.000 {method 'isalpha' of 'str' objects}
     2389    0.003    0.000    0.009    0.000 lizard.py:490(try_new_function)
     4064    0.003    0.000    0.011    0.000 code_reader.py:128(match_filename)
    19186    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     5132    0.003    0.000    0.005    0.000 lizard.py:370(add_parameter)
     3919    0.003    0.000    0.004    0.000 typescript.py:608(__init__)
